category,rate,name,address,url,price_range
Cosmetics & Beauty Supply,4.5 star rating,perfume shop,,,$$$
"Shoe Stores,Sports Wear",5.0 star rating,little feet,,,$$
"Seafood,American (Traditional),Breakfast & Brunch",3.5 star rating,kona brewing ,,,$$
"Gyms,Trainers,Sports Clubs",2.5 star rating,body by frances bootcamp training,,,
Lingerie,4.0 star rating,belladonna shoes,,,$$$
"Car Dealers,Auto Repair",4.0 star rating,wrangler lee,,,
"Latin American,Peruvian,Tapas Bars",3.5 star rating,owins one stop shop,,,$$
Grocery,4.0 star rating,lowes foods,,,$$
Hair Salons,4.5 star rating,bubbles salon,,,$$$
Banks & Credit Unions,5.0 star rating,u s bank,,,
Lounges,4.5 star rating,the beach bar,,,$$
"Hair Salons,Day Spas",5.0 star rating,body trends,,,$$
"Coffee & Tea,Sandwiches,Juice Bars & Smoothies",4.5 star rating,three dollar cafe,,,$
"Orthodontists,Cosmetic Dentists,General Dentistry",5.0 star rating,franklin mills dental,,,
"Cards & Stationery,Art Supplies",4.5 star rating,kinokuniya stationary,,,$$
Dry Cleaning & Laundry,4.0 star rating,nu stuff,,,$$$
,,i-supply,,,
"Smog Check Stations,Oil Change Stations",4.5 star rating,lube center,,,
"Limos,Party Bus Rentals,Airport Shuttles",3.0 star rating,runways,,,
Photography Stores & Services,5.0 star rating,shoebox,,,$$$
Jewelry,4.5 star rating,michal negrin,,,$$$
"Electronics,Photography Stores & Services",3.0 star rating,dsc hobby,,,$$
Florists,4.5 star rating,lambs ear,,,$$
French,4.5 star rating,s t a r s ,,,$$$
Employment Agencies,4.0 star rating,ams connect,,,
Italian,3.5 star rating,sandberg jewelers,,,$$
Mobile Phones,2.0 star rating,sprint pcs,,,$$
Health Markets,,b c b g ,,,
"Thai,Laotian",4.0 star rating,the souk,,,$
"Musical Instruments & Teachers,Specialty Food",4.5 star rating,fluke hearing instruments,,,$$
Indian,3.0 star rating,gaylord india restaurant,,,$$
Colleges & Universities,3.0 star rating,security emergency line,,,
Bookstores,4.0 star rating,family book ,,,$$
Bubble Tea,,tastea,,,$
Furniture Stores,5.0 star rating,local discount furniture,,,$$
Hardware Stores,4.5 star rating,popcorn plus,,,$$
"Party Equipment Rentals,Event Photography",5.0 star rating,foto fun,,,
Mobile Phones,1.0 star rating,cellairis kiosk,,,$$$$
Yoga,4.5 star rating,yogaffee,,,
Home Decor,5.0 star rating,the scrub shoppe,,,$$
Watch Repair,5.0 star rating,faster jewelers,,,
Auto Repair,5.0 star rating,timewave,,,
Mortgage Brokers,5.0 star rating,beneficial financial,,,
Session Photography,2.5 star rating,picture people ,,,
"Pizza,Italian",4.0 star rating,boston gourmet pizza,,,$$
"Shoe Stores,Men's Clothing,Women's Clothing",4.5 star rating,sketchers,,,$
"Pizza,Italian,Brazilian",3.0 star rating,original pizza,,,$$
Children's Clothing,3.0 star rating,limited the ,,,$$$
Tanning,4.0 star rating,paradise airbrush,,,$$
"Coffee & Tea,Bakeries,Cafes",4.0 star rating,janies cookies,,,$$
Children's Clothing,3.0 star rating,peek   arent you curious,,,$$$
Bridal,3.5 star rating,you! boutiques,,,$$
"Ethnic Food,Grocery,Italian",4.5 star rating,ajs fine foods,,,$$
"Shoe Stores,Sporting Goods,Men's Clothing",4.0 star rating,in4mation,,,$$
Dry Cleaning & Laundry,3.0 star rating,plaza coin laundry,,,$$$
Shoe Stores,2.5 star rating,mephisto shoes,,,$$$$
Coffee & Tea,4.5 star rating,human bean,,,$
